   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 188: Blom Erlend R             Bergens               1546  196
 189: Blom Geir                 Sotra                 1297  369
 190: Blomkvist Vemund          Akademisk             1484  102
 191: Blomlie Marius            Trondheim             1548   39
 192: Blomstereng Robert        (Tidl. Tromsø)        1383   54
 193: Boger Raymond             Randaberg             1775  959 1917
 194: Bolme Magne O.            NSSF                  1003   53
 195: Bolstad Henning           Bergens               1525   17
 196: Bolsø Gunnar              Aalesund              1547  558
 197: Bomark Nils Eirik         Nordnes               1901   22
 198: Bonsaksen Tore            Drammen               1373  289
 199: Borchgrevink Harald B     Bergens               2265  851 2304
 200: Borøy Rune                Bodø                  1438   28
 201: Botheim Erik              1911                  1133  206 1676
 202: Botheim Tor               1911                  1811  390 1940
 203: Boutaev Sherip            Stavanger             1355  152
 204: Braathen Trond V          Moss                  1137  247
 205: Brandt Eivind             1911                  1507  170 1754
 206: Brandt Jan-Erik           1911                   969   45
 207: Brantzeg Pål              (Tidl. Asker)         1601  554
 208: Brasøy Aksel              Alta                  1929  405 2006
 209: Bratbak Anita             Masfjorden            1422  126 1727
 210: Bratland Egil Ronald      Drammen               1093  163
 211: Bratteteig Tore-Inge      Masfjorden            1418   34 1679
 212: Brattetveit Kenneth       Sotra                 1735  445
 213: Breivik Lars              Drammen               2186  287 2224
 214: Breivik Rolv              Akademisk             1571  284
 215: Brekke Elida              1911                   637   24
 216: Brekke John Ivar          Trondheim             1329  502
 217: Brekke Jorunn Marie       (Tidl. OSS)           1810  480
 218: Brekke Tore               SK 96                 1814  648
 219: Brekke Øystein            Modum                 1907  610 2187
 220: Bremar Arne               Gambit                1153   43
 221: Brenden Bjørn             Elverum               1289  655
 222: Brenden Torbjørn          Follo                 1395   85
 223: Briseid Håkon             Akademisk             1962  229 2046
 224: Brix Jan                  Caissa                1406  778
 225: Brobakken Geir            Hamar                 1743  903
 226: Brobakken Sindre          Hamar                  980   94
 227: Brodshaug Martin Enerud   OSS                    992   90
 228: Brokke Dag                Nordstrand            1545  321
 229: Brokke Otto               Drammen               1339  248
 230: Brokvam Roy               Lillestrøm            1400  304
 231: Bru Stein K.              (Tidl. Randaberg)     1699  201
 232: Bruaset Eivind            Trondheim              893   20
 233: Brun Nicolai              Tønsberg              1440   87
 234: Brunes Kjell              Bodø                  1189  336
 235: Bruun Frank Olav          Strømmen              1490  199
 236: Bruun-Olsen Håvard        Trondheim              922   26
 237: Bryhn Arild               (Tidl. NSSF)          1113   10
 238: Bryn Askild               Lillehammer           2006  439 2036
 239: Bryn Steinar              Lillehammer           1536  110
 240: Bryn Thomas               Molde                 1952  881 2036
 241: Bråstein Arild            Sandnes                563   22
 242: Bråstein Lars             Sandnes               1841   15
 243: Bråstein Ragnar           Sandnes                968   24
 244: Bråten Jan Tore           Kirkegata              905   30
 245: Bråthen Rune Vidar        Nordstrand            1275   69
 246: Bue Gunnar                Tønsberg              1699 2487 1857
 247: Buffelen Valter           (Tidl. Lørenskog)     1525   22
 248: Bull Håkon                Tønsberg              1674  196
 249: Burchard Ingar            (Tidl. Team Bjørnsen) 1570   24
 250: Byklum Bjørnar            SOSS                  2316  718 2292
 251: Bækken Ole                Elverum               1319  462
 252: Bø Jon Bjarne             (Tidl. Sandnes)        774   46
 253: Bø Kolbjørn               Randaberg              964  178
 254: Bø Odd                    Randaberg             1631  344
 255: Bø Trond Hellem           Stavanger             1498  106
 256: Bøe Arne Hugo             Lørenskog             1701  750
 257: Bøhler Johannes Høva      1911                  1210   97
 258: Bølstad Fredrik           Harstad               1207   67
 259: Børresen Georg S.         Black Knights         2179  611 2234
 260: Børresen Håvard           (Tidl. OSS)           1084   35
 261: Børresen Jon              OSS                   1215   39
 262: Bårdsen Bård              Trondheim             1502   84
 263: Carding Nicholas          Kragerø               1693  151 1897
 264: Carlsen Christian         Drammen               2006  259
 265: Carlsen Ellen Øen         NTG                   1840  393 1904
 266: Carlsen Henrik            Bærum                 2000  295 2085
 267: Carlsen Ingrid Øen        NTG                   1468  192 1508
 268: Carlsen Kjell Arne        Harstad               1146  322
 269: Carlsen Magnus            NTG                   2779 1056 2772
 270: Carstensen Øivind         Nordstrand            1356  803
 271: Cengija Vanja             OSS                   2189   18
 272: Cerkezovic Emir           (Tidl. Lillehammer)   1390   92
 273: Cevro Felix               Asker                 1182   30
 274: Cevro Tom                 Asker                 1242   24
 275: Checinski Pawel           Stavanger             1500   24
 276: Chikwati Elvis            Akademisk             1316   95
 277: Christensen Jim           Mo                    1758  881 1993
 278: Christensen Kjeld         Moss                  1751  357
 279: Christensen Oddbjørn      (Tidl. Tønsberg)      1537  252
 280: Christenson Flemming      Nordstrand            2265  651 2269
 281: Christenson Thor          Nordstrand            1246 1294
 282: Christiansen Johan-Sebast Caissa                1029   45
 283: Christiansen Steinar      Tempo                 1160   21
 284: Christoffersen Odd        Bergens               1617  182
 285: Christoffersen Terje      Follo                 1543   92
 286: Claes Karl                1911                  1109   57
 287: Clausen Tormod            OSS                   1651   57
 288: Dahl Håvar                Hell                   590   10
