   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 275: Dahle Bjørn Vidar         Steinkjer              876   22
 276: Dahle Espen               OSS                   1192   38
 277: Dahle Harald              Stavanger             1039   89
 278: Dalheim Even              Nordnes               1285   39
 279: Dalheim Per Inge          Mosjøen               1539  275
 280: Danielsen Arne            Nordstrand            2011  306
 281: Danielsen Ivar            Stavanger             1737  573
 282: Danielsen Kjell A         Fredriksstad          1642  109
 283: Danielsen Ole J           Fredriksstad          1590  139
 284: Dannevig Øystein          OSS                   2330  819
 285: David Edwin               Orkdal                2093  628
 286: David Eldin               Akademisk             2048  576
 287: De Snayer Jan Gerrit      Hamar                 1741   36
 288: Delphin Nils Håkon        Ås                     804   49
 289: Demirovic Esad            Haugesund             1242   45
 290: Denizer Ridvan            Nordstrand            1619   72
 291: Derås Karstein            1911                  1398  141
 292: Diesen Thor               Myrvoll               1529  370
 293: Digernes Magnus           Nittedal              1806  178
 294: Dimmen Kjetil             Stavanger              951   60
 295: Djurhuus Rune             Akademisk             2504 1526
 296: Dogani Fahroohn           Randaberg             1272   13
 297: Dragland Svein            Fauske                1627   23
 298: Dramdal Rolf              Tempo                 1153   45
 299: Dubland John              Egersund               958   12
 300: Dybka Kristoffer          Stjernen              1706   40
 301: Dybvik Edvin              Trondheim             1457  133
 302: Dyrdal Arnbjørn           Hønefoss              2069  370
 303: Dyrdal Idar               OSS                   1663  356
 304: Dyrnes Jussi              Nordstrand            1322   85
 305: Dyrøy John                Sotra                 1129   17
 306: Dyrøy Odd-Inge            Sotra                 1015   11
 307: Dønnestad Wilfred         Kristiansand          1137   14
 308: Eckhardt Lars             Arendal               1967  407
 309: Edvardsen Lars            Moss                  1061   61
 310: Edvardsen Leif            Drammen               1467  574
 311: Edvardsen Magnus          Kongsberg             1630  383
 312: Edvardsen Ragnar          Drammen               1904 1227
 313: Edvardsen Reidar          Strømmen               685   16
 314: Edvardsen Tore            Hønefoss              1479  366
 315: Edvardsen Trond           Løten                 1431  188
 316: Edvardsen Yngve           Lillestrøm            1077   92
 317: Edøy Rune                 Kristiansund          1088   18
 318: Egeberg Erik              Indre Østfold         1511  246
 319: Egede-Nissen Bjørn        Drammen               2016  473
 320: Egede-Nissen Henning      Gjøvik                1976  464
 321: Egeland Finn              OSS                   1612  108
 322: Egeli Per Ove             Randaberg             2282  811
 323: Eide Stig Omar            Luster                1389   92
 324: Eidem Frode               Strømmen              1889  319
 325: Eidså Edvin               OSS                   1327  320
 326: Eikeland Erik             Bergens               1612  220
 327: Eikeland Idar             Åsane                 1227   82
 328: Eikeland Trond            Fana                  1932  346
 329: Eikeland Øyvind           Åsane                  749   68
 330: Eiken Bernhard            Sevland                657   24
 331: Eiken Stian               Sevland                814   25
 332: Eikevik Arvid             Stjernen               950  119
 333: Eikseth Egil              Trondheim             1691  177
 334: Eikseth Hans M.           Trondheim             1930  489
 335: Eilertsen Jens            Steinkjer             2116  706
 336: Einset Torbjørn           Hemne                  977   54
 337: Einvik Gunnar             Strømmen              1968  421
 338: Einvik Marit              Strømmen               705   75
 339: Ek Anders                 Ås                    1124   15
 340: Ekeberg Aleksander        Bærum                  881   31
 341: Ekeberg Carl Fr.          Bærum                 1239   76
 342: Ekeberg Hans Erik         Drammen                860   14
 343: Ekern Einar               Akademisk              873   14
 344: Eknes Rolf                Bergens                977   62
 345: Eldholm Jostein           Sevland               1311  103
 346: Eliassen Dag              Hauge                  858   51
 347: Eliassen Erik             Hauge                  888   66
 348: Eliassen Torkel           Drammen               1268   47
 349: Elka Parviz               Tromsø                1348   43
 350: Ellefsen Jon Åge          Fredriksstad          1642  255
 351: Ellestad Olav             Asker                 1443  167
 352: Ellingsen Bjørn M.        Bergens               1020   36
 353: Ellingsen Ola V.          Bærum                  966   70
 354: Ellingsen Ronny           Haugesund             1569  191
 355: Ellingsen Stig V.         Bærum                 1184   78
 356: Ellis Roy D.              Stjernen              1441   98
 357: Elsbakk Sverre I.         Hamarøy                724   23
 358: Elseth Roar               OSS                   2232  916
 359: Elsness Frode             Sarpsborg             2296  475
 360: Eltvik Arne               Molde                 1309  174
 361: Eltvik Roy                Molde                 1314  153
 362: Elvebakk Jan              Narvik                1652  135
 363: Elven Rune                Røros                 1169   13
 364: Elvesveen Odd             Gjøvik                1086   72
 365: Emadipour Mehran          Trondheim             1712  207
 366: Endresen Clement          Randaberg             1722  357
 367: Endresen Svein H          Mo                    1610  245
 368: Eng Thor                  Stjernen              1655  114
 369: Engbråten Sigurd          Arendal               1257  210
 370: Engbråten Stein-E         Stavanger             1647  180
 371: Engebråten Are            Kongsberg             1620  166
 372: Engedal Kim N             OSS                   2150  762
 373: Engen Thorbjørn           Skien                 1575   98
 374: Engevik Bjarne J.         Strømmen              1505  286
 375: Engli Knut                Sicilianerne          1689  132
 376: Engstad Kjell             Salangen               778   15
 377: Engø Arne                 Tønsberg               975   16
 378: Enoksen Viggo             Mosjøen               1426  270
 379: Eriksen Dag               OSS                   1521  142
 380: Eriksen Hans Kr.          Tønsberg              1552  127
 381: Eriksen Harald            Akademisk             1262   44
 382: Eriksen Matts             Orkdal                1442  205
 383: Eriksen Roar              Kongsberg             1345  109
 384: Eriksen Steinar           Groruddalens           575   12
 385: Eriksen Terje             Tempo                 2053  390
 386: Eriksen Torfinn           Konnerud              1346   34
 387: Eriksfallet Arild         Sørum                 1548  548
 388: Eriksfallet Olaf          Sørum                 1567  640
 389: Erikstad Olav             Akademisk             1214  199
 390: Erlandsen Morten          Moss                  1460  182
