   Nr Navn                      Klubb                  Elo #par Fide Hurt Lyn
 246: Bækken Ole                Rena                  1389   69
 247: Bø Odd                    Randaberg             1741  234
 248: Bø Sofie                  Fana                   788   32
 249: Bø Solvor                 Hauge                  519   33
 250: Bø Sondre K               Fana                  1736  335
 251: Bøe Arne Hugo             Stjernen              1854  498
 252: Bøhler William A.         Steinkjer             1393  130
 253: Børresen Georg S.         Akademisk             1989  334
 254: Børstad Terje K.          OSS                   1015   55
 255: Bårdsen Bård              Trondheim             1630  600
 256: Bårdsen Erling            Sevland                827   55
 257: Bårdsen Terje A.          Stavanger             1397  238
 258: Bårtvedt Hans M.          Vandaskog              854   28
 259: Calmeyer Ola              Tønsberg               880   87
 260: Cappelen Odd              Randaberg             1544  187
 261: Carlsen Christian         Drammen               1761   92
 262: Carlsen Kjell Arne        Harstad               1222  205
 263: Chatour Firoz             Elverum                900   40
 264: Chavannes Ivar            Trondheim             2002  263
 265: Christensen Jim           Mo                    1661  598
 266: Christensen Kjeld         Nordnes               1715  110
 267: Christenson Flemming      Nordstrand            2019  279
 268: Christenson Thor          Nordstrand            1535  866
 269: Christiansen Frode        Strømmen              1941  740
 270: Christiansen Rolf         Asker                 1632  381
 271: Czilling Ludvig           Moss                  1554  539
 272: Dahl Andreas              OSS                    802   19
 273: Dahl Ingrid               Asker                 2044  815
 274: Dahl Rune                 Porsgrunn             1283   48
 275: Dahl Torbjørn             Orkdal                1409  194
 276: Dahle Bjørn Vidar         Steinkjer              887   13
 277: Dahle Espen               OSS                   1110   29
 278: Dahle Harald              Stavanger             1025   74
 279: Dahle Jan Vidar           Porsgrunn             1048   31
 280: Dalheim Even              Nordnes               1160   29
 281: Dalheim Per Inge          Mosjøen               1545  261
 282: Danielsen Arne            Nordstrand            2011  306
 283: Danielsen Kjell A         Fredriksstad          1642  109
 284: Danielsen Ole J           Fredriksstad          1531  129
 285: Dannevig Øystein          OSS                   2300  780
 286: David Edwin               Aure                  2093  628
 287: David Eldin               Akademisk             2052  575
 288: De Snayer Jan Gerrit      Hamar                 1741   36
 289: Delphin Nils Håkon        Ås                     579   33
 290: Demirovic Esad            Haugesund             1227   32
 291: Denizer Ridvan            Nordstrand            1627   60
 292: Derås Karstein            1911                  1396  139
 293: Diesen Bruce              Asker                 2192  350
 294: Diesen Ole                Eiker                 1547  199
 295: Diesen Thor               Myrvoll               1533  351
 296: Digernes Magnus           Nittedal              1806  178
 297: Dimmen Kjetil             Stavanger              951   60
 298: Djurhuus Rune             Akademisk             2503 1490
 299: Dmitry Zhichkin           Alta                  1768   35
 300: Dogani Fahroohn           Randaberg             1272   13
 301: Dragland Svein            Fauske                1624   16
 302: Duerud Thomas             Akademisk             1069  122
 303: Dybvik Edvin              Trondheim             1438  126
 304: Dyrdal Arnbjørn           Hønefoss              2076  361
 305: Dyrdal Idar               OSS                   1615  348
 306: Dyrnes Jussi              Nordstrand            1314   73
 307: Dyrøy John                Sotra                 1094   12
 308: Dønnestad Wilfred         Kristiansand          1137   14
 309: Eckhardt Lars             Nordstrand            1947  398
 310: Edvardsen Bjørn           Eidsvoll              1730   39
 311: Edvardsen Lars            Moss                  1061   61
 312: Edvardsen Leif            Drammen               1482  565
 313: Edvardsen Magnus          Kongsberg             1577  353
 314: Edvardsen Ragnar          Drammen               1910 1218
 315: Edvardsen Tore            Hønefoss              1479  366
 316: Edvardsen Trond           Løten                 1456  179
 317: Edøy Rune                 Kristiansund          1092   13
 318: Egeberg Erik              Indre Østfold         1530  233
 319: Egede-Nissen Bjørn        Drammen               2034  465
 320: Egede-Nissen Henning      Gjøvik                1976  464
 321: Egeland Finn              OSS                   1609  103
 322: Egeli Per Ove             Randaberg             2265  786
 323: Eggli Walter              Larvik                1227  105
 324: Eide Stig Omar            Luster                1389   92
 325: Eidså Edvin               OSS                   1369  308
 326: Eikeland Erik             Åsane                 1593  191
 327: Eikeland Idar             Åsane                 1227   82
 328: Eikeland Trond            Fana                  1932  346
 329: Eikeland Øyvind           Åsane                  725   57
 330: Eiken Bernhard            Sevland                657   24
 331: Eiken Stian               Sevland                814   25
 332: Eikevik Arvid             Stjernen               932  110
 333: Eikseth Egil              Trondheim             1684  168
 334: Eikseth Hans M.           Trondheim             1928  485
 335: Eilertsen Jens            Steinkjer             2116  706
 336: Einset Torbjørn           Hemne                  977   54
 337: Einvik Gunnar             Strømmen              1924  391
 338: Einvik Marit              Strømmen               705   75
 339: Ekeberg Aleksander        Bærum                  876   22
 340: Ekeberg Carl Fr.          Bærum                 1044   54
 341: Ekern Einar               Akademisk              912   12
 342: Eknes Rolf                Bergens                944   46
 343: Eldholm Jostein           Sevland               1311  103
 344: Eliassen Dag              Hauge                  738   37
 345: Eliassen Erik             Hauge                  847   46
 346: Eliassen Torkel           Drammen               1268   47
 347: Elka Parviz               Tromsø                1321   34
 348: Ellefsen Jon Åge          Fredriksstad          1642  255
 349: Ellestad Olav             Asker                 1483  158
 350: Ellingsen Bjørn M.        Bergens               1020   24
 351: Ellingsen Ola V.          Bærum                  923   59
 352: Ellingsen Ronny           Haugesund             1572  185
 353: Ellingsen Stig V.         Bærum                 1186   69
 354: Ellingsrud Eivind         Nordstrand             808   55
 355: Ellis Roy D.              Stjernen              1331   83
 356: Elsbakk Sverre I.         Hamarøy                724   23
 357: Elseth Roar               OSS                   2215  903
 358: Elsness Frode             Sarpsborg             2333  466
 359: Eltvik Arne               Molde                 1313  167
 360: Eltvik Roy                Molde                 1292  146
 361: Elvebakk Jan              Narvik                1648  122
 362: Elven Rune                Røros                 1169   13
 363: Elvesveen Odd             Gjøvik                1086   72
 364: Emadipour Mehran          Trondheim             1725  200
 365: Endresen Clement          Randaberg             1718  348
 366: Endresen Svein H          Mo                    1600  238
 367: Eng Thor                  Stjernen              1655  114
 368: Engbråten Sigurd          Arendal               1278  201
 369: Engbråten Stein-E         Stavanger             1635  155
 370: Engebråten Are            Kongsberg             1620  166
 371: Engedal Kim N             OSS                   2150  762
 372: Engen Thorbjørn           Skien                 1575   98
 373: Engevik Bjarne J.         Strømmen              1520  282
 374: Engli Knut                Sicilianerne          1689  132
 375: Engstad Kjell             Salangen               778   15
 376: Enoksen Viggo             Mosjøen               1426  270
 377: Eriksen Dag               OSS                   1521  142
 378: Eriksen Hans Kr.          Tønsberg              1562  118
 379: Eriksen Harald            Akademisk             1222   33
 380: Eriksen Lars Erik         Sarpsborg             1536  132
 381: Eriksen Matts             Orkdal                1442  205
 382: Eriksen Roar              Kongsberg             1345  109
 383: Eriksen Steinar           Groruddalens           575   12
 384: Eriksen Terje             Eiker                 2053  381
 385: Eriksen Torfinn           Konnerud              1346   34
 386: Eriksfallet Arild         Sørum                 1547  542
 387: Eriksfallet Olaf          Sørum                 1569  633
 388: Erikstad Olav             Akademisk             1187  174
 389: Eritzland Odd Arne        Drammen               1275   12
 390: Erlandsen Morten          Moss                  1410  173
 391: Erlandsen Vemund          Hønefoss              1201   70
 392: Erlendsson Audun          Asker                 1323  142
 393: Esaiassen Bjørn           Hammerfest            1294   23
 394: Esbensen Andreas          Vadsø                 1804  275
 395: Esbensen Arnt             Strømmen              2076  385
 396: Esbensen Hans Fredrik     Vadsø                 1446  329
 397: Espeland Ove              Nordnes               1251   71
 398: Espetveit Asbjørn         Sandnes-Ganddal       1689  209
 399: Estahkri Rashoul          Kongsberg             1316   15
 400: Evensen Roy               Harstad               1815  445
 401: Evensen Tom R             Trondheim             1794  286
 402: Fadnes Jan                Nordnes                892   11
 403: Fahlstrøm Inge            1911                  1256  140
 404: Fanghol Eric              Molde                 1373  173
 405: Farmen Pål                Ås                    1395  124
 406: Farstad Finn O            Aalesund              1617  254
 407: Farstad Gudmund           Molde                 1861   93
 408: Farstad Øyvind            Aalesund               652  125
 409: Fasting Emil Chr.         Stjernen              1398   24
 410: Ferkingstad Gro           Sevland               1922  527
 411: Ferkingstad Per M         Sevland               1271  160
 412: Ferkingstad Sjur          Sevland               1649  377
 413: Ferkingstad Trond         Sevland                698   66
 414: Fesche Rolf A             Asker                 1686  341
 415: Fesche Svein Tore         Larvik                2013  446
 416: Feyling Thor K            Egersund              1224  112
 417: Fikseaunet Torbjørn       Steinkjer             1944  368
 418: Findreng Astrid           Kristiansand          1147   10
 419: Finjord Ingjald           Stavanger             1508  268
 420: Finjord Jan               Stavanger              755  133
 421: Finjord Roger             Øksfjord              1566  327
 422: Finsveen Per              Gjøvik                1322  267
 423: Fjeld Alf                 Strømmen              1275  357
 424: Fjeld Jan Egil            Asker                 1512  264
 425: Fjeldberg Åge             Sørum                 1553  110
 426: Fjellengen Bård           Sarpsborg             1563  567
 427: Fjellheim Olav            Mo                    1278   28
 428: Fjellseth Stein           Caissa                1657  168
